"estacion","dia_wd","hora","viajes_retiro_prom","edad_p","prop_f","duracion_p","dist_prom","viajes_arribo_prom","region","region_0","region_1","region_10","region_11","region_12","region_2","region_3","region_4","region_5","region_6","region_7","region_8","region_9","dia_2","dia_3","dia_4","dia_5","dia_6","hora_6","hora_7","hora_8","hora_9","hora_10","hora_11","flujo_abs","maxcapacity","flujo_rel"
1,3,10,14.2156862745098,35.5005411370365,0.205405821216674,11.46470775235,1.48098996587379,11.5192307692308,"0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,-0.275641025641026,27,-0.0102089268755935
1,3,11,10.1176470588235,36.3348614012541,0.28635294444118,12.7047078738255,1.28251028492205,8.86274509803922,"0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-0.128205128205128,27,-0.00474833808167141
1,4,6,6.05769230769231,35.8125513375513,0.302855477855478,8.37422438672439,1.26401566489066,4.41176470588235,"0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,-0.387820512820513,27,-0.014363722697056
1,4,7,16.5769230769231,34.8023791697268,0.281857444379266,11.3044742517756,1.65211859981523,11.4423076923077,"0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,-1.31730769230769,27,-0.0487891737891738
1,4,8,25.2884615384615,34.0108842185959,0.233083441851515,11.1955685624013,1.54624718068712,27.4423076923077,"0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,-0.301282051282051,27,-0.0111585944919278
1,4,9,22.8269230769231,34.2605104441621,0.233026562828578,11.6062337867088,1.464866426136,24.9807692307692,"0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1.0224358974359,27,0.0378679962013295
1,4,10,12.5576923076923,35.1287444593343,0.216562612567743,11.702944131421,1.40596652282433,9.55769230769231,"0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,-0.16025641025641,27,-0.00593542260208927
1,4,11,10.5,35.2372880038976,0.269941732921758,12.0283540732078,1.23143672383275,9.38461538461539,"0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,-0.320512820512821,27,-0.0118708452041785
1,5,6,5.73584905660377,35.7365460535272,0.273340548340548,8.11987598355523,1.22724921723978,4.25490196078431,"0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,-0.411949685534591,27,-0.0152573957605404
1,5,7,15.9230769230769,34.3368337970096,0.314357382134195,11.4516804043702,1.66637940798827,11.6923076923077,"0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,-1.07861635220126,27,-0.0399487537852318
1,5,8,25.2307692307692,34.0270499487587,0.197357347631685,11.5139395815993,1.54260518119476,26.5283018867925,"0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,-0.292452830188679,27,-0.0108315863032844
1,5,9,22.9230769230769,34.0774618260751,0.262084013594059,11.2971631207808,1.44525023049979,22.3396226415094,"0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.522012578616352,27,0.019333799208013
1,5,10,12.7735849056604,35.2349043639766,0.259635781185667,11.1955667065311,1.36978944731366,11.4615384615385,"0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,-0.0125786163522013,27,-0.000465874679711158
